FECHA_CORTE,UBIGEO,ANIO,DEPARTAMENTO,PROVINCIA,FECHA_UTC,HORA_UTC,TIPO,FRECUENCIA_PRINCIPAL,DURACION,ENERGIA,VOLCAN
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,93337,VT,5.6,58.59,0.000147,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,102825,VT,3.0,76.02,0.000149,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,104711,VT,2.8,44.98,0.000137,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,105517,VT,3.8,64.75,0.001042,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,110838,VT,3.8,52.5,0.000175,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,113833,VT,8.5,42.51,2.8e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,115021,VT,2.9,28.05,3.9e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,121435,VT,5.0,28.59,5.2e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,122748,VT,5.2,39.55,4.5e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,162839,VT,5.2,31.16,0.000186,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,172622,VT,3.0,30.96,0.00042,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240101,191523,VT,4.2,41.1,0.00068,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,45903,VT,5.2,27.7,0.000428,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,52832,VT,3.1,53.33,6e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,103050,VT,4.6,25.69,3.7e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,110333,VT,2.7,39.84,8e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,113221,VT,5.3,34.41,3.1e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,121000,VT,4.2,35.93,3.9e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,132351,VT,3.7,63.17,0.001499,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,142307,VT,5.3,32.94,6.9e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,142309,VT,4.5,31.68,6.9e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,154519,VT,3.1,31.49,0.000323,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,184943,VT,3.1,26.14,0.000111,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240102,211211,VT,3.4,30.67,0.000178,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,5502,VT,3.1,28.25,3e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,10709,VT,2.8,25.76,2.1e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,13241,VT,4.4,40.67,4.3e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,13955,VT,3.4,49.38,4e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,84759,VT,3.8,29.6,5.3e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,85554,VT,2.9,35.99,4.6e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,93601,VT,6.3,45.57,0.00056,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,94520,TO,4.6,103.3,0.002537,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,104300,VT,6.3,42.54,9.2e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,105438,VT,3.8,33.63,4e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,164009,VT,3.4,36.12,9.2e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240103,220908,VT,3.7,24.59,3.2e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,33005,VT,2.8,28.44,3.9e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,34241,VT,10.0,34.71,2.4e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,40434,VT,10.0,27.02,2.4e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,162252,VT,2.5,29.29,4e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,180702,VT,7.1,54.91,0.000439,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,200350,VT,3.8,47.79,8.5e-05,MISTI
20250530,0401,2024,AREQUIPA,AREQUIPA,20240104,202916,VT,2.7,38.82,7.4e-05,MISTI
